,id,Unnamed: 0,bot,description,probe_timestamp,created_at,lang,protected,verified,geo_enabled,default_profile,followers_count,friends_count,listed_count,favourites_count,statuses_count,source
0,1652541,500,bot,"Top and breaking news, pictures, and videos from Reuters.",Mon Jan 21 22:05:51 +0000 2019,Tue Mar 20 17:46:05 +0000 2007,en,False,1.0,0.0,0.0,20160289,1081,117098,781,351282,gilani_2017
1,13918492,48903,human,"We cover breaking news in Washington #DC, Maryland & Virginia. NEWS TIPS: 202-895-3000 or fox5tips@foxtv.com. Online: http://www.fox5dc.com. Facebook: FOX 5 DC",Tue Nov 06 15:10:15 2018,Sun Feb 24 18:13:59 2008,en,,1.0,1.0,0.0,266400,5993,2316,15694,205726,midterm_18
2,22280891,44329,human,"Professional at things U think U know 
Romans Chapter 8 
God, family, country #MAGA 
DONALD TRUMP IS THE CURE for the mess The USA is In
ALL ABOARD...#TrumpCard",Tue Nov 06 18:53:47 2018,Sat Feb 28 18:23:33 2009,en,False,0.0,0.0,0.0,1082,746,29,18237,36239,midterm_18
3,74409069,988,bot,"The official Twitter account of Smart Communications, Inc. Follow @SmartCares for customer support.",Mon Jan 21 22:38:16 +0000 2019,Tue Sep 15 09:38:04 +0000 2009,en,False,1.0,1.0,0.0,1422391,53238,1566,6617,307845,gilani_2017
4,18672140,1985,human,@iheartradio National Rock/Alt Radio Personality • Social Influencer • theresa@iheartradio.com #HtownAndProud - wifed up 2 @adamclanton,Wed Jun 05 22:15:34 +0000 2019,Tue Jan 06 12:29:56 +0000 2009,,False,1.0,1.0,0.0,44199,6631,250,23452,27259,verified_2019
5,21212604,1573,human,CTV Ottawa covers local stories that matter to you. Our Web reporting team and other staff update you with the latest news.,Mon Jan 21 21:16:36 +0000 2019,Wed Feb 18 16:38:27 +0000 2009,en,False,1.0,0.0,0.0,189791,323,1670,350,79856,gilani_2017
6,18340526,44442,human,"A Twitter Account About Nothing|Welcome To All Smart, Funny People|Vodka Martini/Cigar/Good Food|99.99% followback/100% unfollowback|Scammers DM at own risk.",Tue Nov 06 19:16:04 2018,Tue Dec 23 19:42:19 2008,en,False,0.0,1.0,1.0,19847,19493,162,217758,55496,midterm_18
7,14897840,47,bot,"Breaking news, weather, sports and information for the Washington, D.C. area from the ABC 7 Newsroom.",Mon Jan 21 21:02:57 +0000 2019,Sun May 25 10:27:38 +0000 2008,en,False,1.0,1.0,0.0,151634,901,2824,4685,279822,gilani_2017
8,100629223,1194,human,// RADIO GUY // MGMT: marina@marinapaul.com,Mon Jan 21 19:09:41 +0000 2019,Wed Dec 30 23:59:26 +0000 2009,en,False,1.0,1.0,0.0,77324,1010,269,29522,38730,gilani_2017
9,17741202,42811,human,"Write about race, violence, policing. Founded @jxnfreepress, @MSYouthMedia. Words: @guardianus, more. Fellow: @QuattroneCenter 
Mississippi native #TRHT",Tue Nov 06 21:22:11 2018,Sat Nov 29 20:37:26 2008,en,False,0.0,1.0,0.0,6230,5864,230,24179,74334,midterm_18
10,230544750,44005,human,"This Twitter account is to keep Mrs. Lones's history students apprised of all important information as well as articles, etc.",Tue Nov 06 17:53:45 2018,Sat Dec 25 22:52:39 2010,en,False,0.0,1.0,0.0,766,602,53,10748,31429,midterm_18
11,28743012,42506,human,"Soccer playing, knitting, crocheting, cross stitching crazy Redskins and Wahoo loving single mom!! UVA 1991, fourth generation Wahoo.",Tue Nov 06 20:42:36 2018,Sat Apr 04 04:53:30 2009,en,False,0.0,1.0,1.0,209,1501,5,1011,3202,midterm_18
12,17509945,1691,human,"Daily, peer reviewed medical news for clinicians",Thu Jun 06 01:00:03 +0000 2019,Thu Nov 20 12:14:04 +0000 2008,,False,1.0,1.0,0.0,62656,6280,1948,6447,39854,verified_2019
13,531598198,46292,human,"Gave Blood Played Rugby, Love walking above the clouds and falling from the sky.


Hardscaper #PermeablePavers",Tue Nov 06 13:19:09 2018,Tue Mar 20 20:10:17 2012,en,False,0.0,0.0,0.0,4921,4708,134,3669,106932,midterm_18
14,16083576,47441,human,"The latest Philadelphia area news, weather, sports and traffic. Home to #CBS3 🖥",Tue Nov 06 09:37:06 2018,Mon Sep 01 11:25:37 2008,en,,1.0,1.0,0.0,181019,1293,2315,4283,227621,midterm_18
15,16083576,143,bot,"The latest Philadelphia area news, weather, sports and traffic. Home to #CBS3 🖥",Mon Jan 21 23:35:25 +0000 2019,Mon Sep 01 15:25:37 +0000 2008,en,False,1.0,1.0,0.0,182112,1294,2330,4367,233031,gilani_2017
16,21956433,1945,human,@loaa_365 / #loaa #lifeofanactor 🎭 founder • @detourent owner,Wed Jun 05 21:26:59 +0000 2019,Thu Feb 26 02:05:44 +0000 2009,,False,1.0,1.0,0.0,4181,317,77,12930,72459,verified_2019
17,564099543,42984,human,"Forensic pathologist, columnist @ForensicMag & @medpagetoday coauthor of Working Stiff with @TJMitchellWS. ♥️, RT DO NOT mean I endorse or agree.",Tue Nov 06 21:52:00 2018,Thu Apr 26 20:31:40 2012,en,False,1.0,1.0,1.0,20027,7545,381,24727,20287,midterm_18
18,14600977,319,human,"The Columbia Daily Tribune is a daily newspaper in Columbia, Missouri.",Wed Jun 05 23:30:00 +0000 2019,Wed Apr 30 14:54:08 +0000 2008,,False,1.0,0.0,0.0,35915,173,774,53,27223,verified_2019
19,14463848,1965,human,Share Our Strength's #NoKidHungry campaign aims to end child hunger in the US.,Wed Jun 05 21:33:05 +0000 2019,Mon Apr 21 16:33:53 +0000 2008,,False,1.0,1.0,0.0,436845,92568,3527,61705,73240,verified_2019
20,15610400,1152,human,"Worcester County's leading provider of news and information. If you have breaking news or a tip, call the City Desk at (508) 793-9245",Wed Jun 05 23:38:04 +0000 2019,Sat Jul 26 13:24:34 +0000 2008,,False,1.0,1.0,0.0,60053,1380,640,3717,91978,verified_2019
21,312195939,42,human,Windsor's News Leader,Wed Jun 05 23:26:00 +0000 2019,Mon Jun 06 18:47:16 +0000 2011,,False,1.0,1.0,0.0,27627,1537,263,5951,64229,verified_2019
22,2305221212,43332,human,"Mom to 4, Im a Former Active Duty US Marine/Veteran #2A #LSU #PoliceLivesMatter #CajunLife Followed by Hannity “Give me Liberty or Give me Death”",Tue Nov 06 22:46:22 2018,Wed Jan 22 17:44:21 2014,en,False,0.0,0.0,1.0,6163,5225,119,32915,29119,midterm_18
23,256353739,1610,human,Afternoons on @KNX1070. Before this: @KGO810 and @KFBK. From Sacramento. Spending $2 bills to get them back out there. Mike.Simpson@entercom.com,Wed Jun 05 20:42:21 +0000 2019,Wed Feb 23 04:31:06 +0000 2011,,False,1.0,1.0,1.0,1655,1461,70,3212,6551,verified_2019
24,587065841,42857,human,Garden gnomes have been infected by a virus which has turned them into flesh eating zombies. Amazon / Etsy /Wholesale,Tue Nov 06 19:13:43 2018,Tue May 22 02:17:25 2012,en,False,0.0,0.0,0.0,543,373,21,727,1948,midterm_18
